sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
2,BMO BANK OF MONTREAL,508,BMO BANK OF MONTREAL,19 OXFORD ST. W.,?,DRUMBO,ON,Ontario,N0J1G0,43.236817,-80.553157
RN15,RO-NA HARDWARE,836,RONA 51 MAIN STREET,51 MAIN ST,?,ERIN,ON,Ontario,N0B1T0,43.76886,-80.06189
SHEL,SHELL CANADA,1EH6,Markdale ON,?,?,?,ON,Ontario,?,44.31951,-80.649312
SHEL,SHELL CANADA,A5BF,"Martin Tire, Vankleek",?,?,?,ON,Ontario,?,45.520433,-74.651929
2,BMO BANK OF MONTREAL,495,BMO BANK OF MONTREAL,20 MAIN STREET,?,ATHENS,ON,Ontario,K0E1B0,44.625909,-75.952266
BOST,BOSTON PIZZA INTERN'AL,407,BRACEBRIDGE,10 DEPOT DRIVE,?,BRACEBRIDGE,ON,Ontario,P1L0A1,45.050322,-79.292554
SHEL,SHELL CANADA,10A8,Upsala ON,HIGHWAY 17,?,UPSALA,ON,Ontario,P0T2Y0,49.0415,-90.46829
LCBO,LCBO,111,Westport,15 CHURCH STREET,?,WESTPORT,ON,Ontario,K0G1X0,44.679265,-76.396601
CRST,CARSTAR AUTOMOTIVE CANADA,147,CARSTAR HUNTSVILLE,5 BICKLEY COUNTRY DRIVE,HIGHWAY 11 & MUSKOKA RD. 3,HUNTSVILLE,ON,Ontario,P1H1Y4,45.31327,-79.24826
2,BMO BANK OF MONTREAL,657,BMO BANK OF MONTREAL,"100, 6900 - 46TH ST",?,OLDS,AB,Alberta,T4H0A2,51.795377,-114.142657
NSLL,NOVA SCOTIA LIQUOR,2460,PORT HOOD,8578 ROUTE 19,?,PORT HOOD,NS,Nova Scotia,B0E2W0,45.99992,-61.52975
SHEL,SHELL CANADA,3D5E,Three Hills AB,204 18 AVENUE,?,THREE HILLS,AB,Alberta,T0M2A0,51.707251,-113.243976
LCBO,LCBO,328,Watford,538 HURON STREET,?,WATFORD,ON,Ontario,N0M2S0,42.947161,-81.878444
2,BMO BANK OF MONTREAL,748,BMO BANK OF MONTREAL,1894 SCUGOG ST,?,PORT PERRY,ON,Ontario,L9L1H7,44.1011,-78.938789
SHEL,SHELL CANADA,7A60,1450 Main St S,1450 MAIN STREET SOUTH,?,DAUPHIN,MB,Manitoba,R7N3H4,51.135185,-100.063086
LCBO,LCBO,613,Sundridge,HWY  11 ONTARIO ST,?,SUNDRIDGE,ON,Ontario,P0A1Z0,45.770515,-79.394128
UNIS,AUTO PLUS AUTO PART PLUS,C074,Gold River App,512 INDUSTRIAL PK.,?,GOLD RIVER,BC,British Columbia,V0P1G0,49.73419,-126.08447
RN02,RONA LE RENOVATEUR,234,"1005,Levesque St-P","1005, RUE LIVESQUE",?,SAINT-PASCAL,QC,Quebec,G0L3Y0,47.52636,-69.7928
SHEL,SHELL CANADA,219A,Messines QC,?,?,?,QC,Quebec,?,46.247586,-75.998495
SBYA,SOBEYS INC,232,Pictou,239 WEST RIVER ROAD,?,PICTOU,NS,Nova Scotia,B0K1H0,45.679354,-62.724787
BUDG,BUDGET RENT A CAR,0WAJ,T BANFF AB TRKS,202 BEAR STREET,?,BANFF,AB,Alberta,T1L1B3,51.17683,-115.5723
RN04,BOTANIX,326,"8, rt132,Paspebiac","8, ROUTE 132",?,PASPEBIAC,QC,Quebec,G0C2K0,48.02892,-65.24853
LCBO,LCBO,309,Maxville,3 MAIN STREET,?,MAXVILLE,ON,Ontario,K0C1T0,45.287726,-74.854814
LCBO,LCBO,464,Schreiber,207 MANITOBA STREET,?,SCHREIBER,ON,Ontario,P0T2S0,48.807735,-87.264044
LCBO,LCBO,274,Zurich,11 MAIN STREET,?,ZURICH,ON,Ontario,N0M2T0,43.421759,-81.618797
SWPH,SOBEYS WEST PHARMACIES,5417,SWCB SBY BONNYVILLE,4804 50 AVE,?,BONNYVILLE,AB,Alberta,T9N1A3,54.26781,-110.7352
17,GOODYEAR CANADA - EAST,1134,COAST TIRE & AUTO,"455, MCALLISTER DRIVE",?,ST-JOHN,NB,New Brunswick,E2J2B4,45.30669,-66.0104
